번호,정책유형,정책명,정책 요약,주관기관
752,교육,차세대 보안리더 양성 프로그램 (BoB),"사이버보안의 핵심 인재 양성을 통해 대한민국의 글로벌 역량을 강화하고, 보안 난제를 해결하고자 『차세대 보안리더 양성 프로그램』교육생 모집",과학기술정보통신부
753,교육,이공계 전문기술 연수(학사)사업,"이공계 대졸 미취업자(전문대졸 포함)에게 전문, 기업현장 연수 등 직업 교육 기회를 제공함으로써 실무능력을 강화하여 청년 실업문제 및 이공계 인력의 수급 불균형 해소",과학기술정보통신부
754,일자리,「2024년 경상북도 북부권 청년창업지원 사업」제 8기 청년창업자 모집,경상북도 북부권 청년창업지원센터는 경상북도 북부권의 초기 청년 창업자를 대상으로 창업 지원 및 창업자 육성을 위해 아래와 같이 참여자를 모집하오니청년창업자분들의 많은 관심과 참여 바랍니다.,중소벤처기업부
755,교육,ICT 학점연계 프로젝트 인턴십,과학기술정보통신부와 정보통신기획평가원에서는 정보통신 관련학과 대학생이 학점 인정을 조건으로 국내·외 기업에서 제안한 ICT 관련 직무중심 인턴십을 수행하도록 지원 사업,과학기술정보통신부
756,일자리,2023년 귀속 근로장려금 · 자녀장려금 정기 신청(5월),"(1)소득과 재산이 일정 금액 미만인 근로자, 종교인 또는 사업자(전문직 제외)가구에 대해 일하는 만큼 가구원 구성과 총급여액 등(부부합산)에 따라 산정된 근로장려금을 지급하여 근로를 장려하고 소득을 지원하는 일과 연계된 복지제도입니다. (2)자녀양육을 지원하기 위해 총소득(부부합산) 7,000만 원 미만이면서 부양자녀(18세 미만)가 있는 경우 1명당 최대 100만 원을 지급하는 제도입니다.",국세청
757,복지.문화,자살예방 SNS 상담 브랜드네이밍 공모전,자살예방 상담전화 통합·개편(109)의 일환으로 청년층이 익숙한 SNS* 상담 도입 (’24.하반기) 을 앞두고 브랜드네이밍을 공모,주최:
758,일자리,문화가 있는 날,국민이 일상에서 문화를 쉽게 접할 수 있도록 매달 마지막 수요일과 그 주간에 다양한 문화혜택을 제공하는 날,문화체육관광부
759,주거,청년매입임대주택,"LH에서 주택을 매입하여 청년(만19세~39세), 대학생 및 취업준비생을 대상으로 시중시세 40~50% 수준으로 임대하는 주거 정책",한국토지주택공사
760,주거,중소기업취업청년 전월세보증금 대출,중소기업에 취업한 청년들에게 저리의 중소기업 취업청년 전월세보증금을 대출,국토교통부
761,주거,청년우대형 청약통장,청년의 내 집 마련 지원을 위해 청약 기능에 우대금리와 비과세 혜택을 제공,국토교통부
762,교육,청년 체인지업 프로젝트 참여자 모집,마음 건강 향상과 사회적 관계 맺음의 기회를 만들어 갈 고립·은둔 극복 의지가 있는 청년 참여자 지원 정책,청년재단
763,일자리,2024년 K-스타트업 그랜드챌린지 글로벌 창업기업 보육 액셀러레이터 모집 공고,"우수한 글로벌 창업기업 유치, 국내 창업 및 비즈니스 정착 지원을 위해 글로벌 창업지원 역량을 갖춘 「2024년 K-스타트업 그랜드챌린지」의 글로벌 창업기업 보육 액셀러레이터를 모집 공고합니다.",중소벤처기업부
764,복지.문화,"자산형성지원사업(희망저축계좌Ⅰ, Ⅱ)",희망저축계좌를 통해 일하는 생계·의료·주거·교육급여 수급가구 및 차상위계층이 자활에 필요한 자산을 형성할 수 있도록 지원합니다.,자활정책과
765,복지.문화,영주귀국 사할린한인 정착비 및 시설운영지원,일제강점기 강제징용당한 사할린한인을 대상으로 영주귀국 대상자를 선정하여 귀국 및 정착생활에 필요한 비용을 지원합니다.,노인정책과
766,복지.문화,자립준비청년 자립수당 지급,자립준비청년(보호종료아동)에게 자립수당을 지급하여 보호종료 후 경제적 부담을 완화하고 복지향상을 통해 안정적 사회정착 및 성공적 자립을 지원합니다.,아동권리과
767,복지.문화,예술활동준비금,"예술인들이 경제적인 이유로 창작활동을 중단하지 않도록, 예술활동 소득이 낮은 예술인들을 실질적으로 지원하는 사업입니다.",문체부/한국예술인복지재단
768,참여.권리,"예술인 생활안정자금(대출) 신청(매월 1일~10일, 예산소진시까지)","생활안정자금 대출은 결혼자금, 의료비, 부모 요양비, 장례비, 긴급 생활자금 등 예술인의 생활안정 기반 마련에 도움을 드리기 위한 상품입니다. (결혼자금, 의료비, 부모 요양비, 장례비, 긴급 생활자금)",문화체육관광부/한국예술인복지재단
769,교육,예술체육비전장학금,전공분야별로 재능과 소질을 개발하여 예술 및 체육분야를 선도할 수 있는 인재로 육성하기 위해 지원하는 장학금,교육부
770,교육,전문기술인재장학금,취업역량 개발 노력이 우수한 전문대 학생이 안정적으로 학업 및 자기개발에 정진할 수 있도록 지원하여 전문기술인재로 육성,교육부
771,교육,인문100년장학금,인문학 소양을 갖춘 인재를 양성하기 위해 인문사회계열 학생에게 학자금을 지원하는 장학금,교육부
772,교육,농촌학자금융자,농산업분야 전문인력 육성 및 농어촌 출신 학부생의 안정적 고등교육기회 보장을 위한 등록금 무이자 대출제도,교육부
773,교육,유예대출_일반상환학자금 특별상환유예,일반 상환 학자금 대출자 중 학부 또는 대학원 졸업 후 경제적으로 곤란한 사람에 대해 대출의 원금과 이자상환을 일정기간 유예하는 제도 ※ 학점은행제 학습자 학자금대출은 제외※ 해당 제도는 최초 1회에 한하여 이용가능(기이용자는 추가신청 불가),교육부
774,복지.문화,청년내일저축계좌,"근로빈곤층 청년의 생계수급자 등으로의 하락을 사전에 예방하고, 일하는 중간계층 청년이 사회에 안착할 수 있도록 자산형성을 지원합니다.",자활정책과
775,교육,농식품 창업 아이디어 성장전략 과정 교육생 모집,한국농수산식품유통공사 농수산식품유통교육원에서 주관하는 '농식품 창업 아이디어 성장 전략' 과정의 교육생을 모집,농림축산식품부
776,교육,충북지식재산센터 제26기(24년 1기) IP창업존 교육생 모집 공고,"청주상공회의소 충북지식재산센터는 지식재산 기반 아이디어와 기술을 보유한 예비창업자, 대학생, 일반인을 대상으로 강력한 지식재산권 획득과 사업화 극대화",특허청
777,일자리,2024년 강한 소상공인 성장지원사업(트랙II),"기업가·장인정신, 창의·혁신적인 아이템 등을 보유한 소상공인을 발굴하여 강한 소상공인으로 육성을 지원하는 「'24년도 강한 소상공인 성장지원사업」의 지원대상자(소상공인)를 모집합니다.* (트랙II) 온라인셀러 유형",-
778,교육,2024년 제1차 에너지혁신벤처 투자IR 심화교육 참가모집 안내,2024년 제1차 에너지혁신벤처 투자IR 심화교육 참가모집을 다음과 같이 공고하오니 참여를 희망하는 분들께서는 안내 따라 신청하기 바랍니다.,-
779,교육,2024년 충북콘텐츠코리아랩 [창업지원 원스톱 프로그램 모집] 공고,충북 도내 예비창업자 문화콘텐츠 아이템 발굴 및 육성을 위한[문화콘텐츠 예비창업 지원사업] 을 아래와 같이 공고합니다.,중소벤처기업부
780,참여.권리,2024 콘텐츠 맞춤형 인턴십 지원사업,(재)전북특별자치도 콘텐츠융합진흥원 전북콘텐츠기업지원센터에서「2024 콘텐츠 맞춤형 인턴십 지원사업」을 붙임과 같이 공고하오니 많은 관심과 참여 부탁드립니다.,-
781,참여.권리,2024 전북콘텐츠코리아랩 콘텐츠 창업랩 제작지원사업,"(재)전북특별자치도 콘텐츠융합진흥원 전북콘텐츠코리아랩에서는도내 콘텐츠 예비 창업자 발굴 및 지역 내 콘텐츠 산업 활성화를 목적으로""2024 전북콘텐츠코리아랩 콘텐츠 창업랩 제작지원 사업""을 다음과 같이 공고하오니 많은 관심과 참여 바랍니다.",문화체육관광부
782,참여.권리,2024년 서부경기문화창조허브 캐릭터IP 특화분야지원 모집,경기도 서부권역 대상 캐릭터 IP를 활용한 웹툰/웹소설 제작 및 신규 캐릭터 IP 개발에 참여할 기업 및 개인 창작자를 모집합니다.,-
783,참여.권리,익산형 청년창업 액셀러레이팅 지원(팁스 연계형) 및 MVP 지원사업 참여기업 모집 공고문,유망 창업아이템 및 혁신기술을 보유한 익산시 청년창업자의 창업사업화 지원 및 투자유치 가능성 확대를 위해『익산형 청년창업 액셀러레이팅 지원사업(팁스 연계형)』지원 대상자 모집을 다음과 같이 공고합니다.,익산시청
784,참여.권리,24년 3월 스타트업 언론 홍보 지원사업 참가사 2분기 모집 공고,스타트업 전문 매체 『스타트업데일리』에서 홍보에 어려움을 겪는 예비창업자/스타트업의 홍보 지원을 위해 다음과 같이 공고하오니 많은 참여 바랍니다.,-
785,참여.권리,2024년도 인천스타트업파크 'TRYOUT' 스케일업 챌린지랩(글로벌 진출 분야) 참여기업 모집 공고,"우리 법인은 유망 4차산업 기반(빅데이터. AI, 스마트시티, IoT 등)및 바이오 분야 스타트업의 글로벌 진출 전 사전 실증 지원을 위한 스케일업 챌린지랩(글로벌 진출 분야)공고를 추진하오니 관련스타트업들의 많은 참여와 관심 부탁드립니다.",-
786,교육,[강동구 청년해냄센터] 전문분야 창업 멘토링 데이,강동구 청년해냄센터에서 전문분야 창업 멘토링 데이 계획을 다음과 같이 공고하오니 참여 희망자는 안내에 따라 신청하시기 바랍니다.,-
787,참여.권리,2024 콘텐츠 맞춤형 인턴십 지원사업,(재)전북특별자치도 콘텐츠융합진흥원 전북콘텐츠기업지원센터에서「2024 콘텐츠 맞춤형 인턴십 지원사업」을 붙임과 같이 공고하오니 많은 관심과 참여 부탁드립니다.,-
788,참여.권리,2024년 경기 스타트업 랩(수원); 개방형지정석 및 입주기업 추가모집,"경기도경제과학진흥원은 4차산업 전략분야(AI, 로봇·드론, 정보보안, 빅데이터, 게임) 대해 다각적이고 체계적인 지원을 통하여 우수 벤처기업을 육성하고자 아래와 같이 입주기업을 모집하오니 많은 참여 바랍니다.",-
789,참여.권리,2024년 전북콘텐츠기업지원센터 입주기업 상시모집 공고,(재)전북특별자치도 콘텐츠융합진흥원 전북콘텐츠기업지원센터에서는도내 콘텐츠 산업을 함께 이끌어갈 비전 있는 콘텐츠 분야 입주기업을 모집하고자 합니다.콘텐츠 산업 종합지원 인프라를 활용하여 선발 기업을 적극 지원하오니 많은 지원 바랍니다.,전라북도청
